valid_time,source,ghi,fetched_at
2026-08-06 15:00:00,analysis,866.0,2026-09-14T15:08:27
2026-08-06 15:00:00,era5,791.0,2026-09-14T14:28:17
2026-08-06 16:00:00,analysis,760.0,2026-09-14T15:08:27
2026-08-06 16:00:00,era5,653.0,2026-09-14T14:28:17
2026-08-06 17:00:00,analysis,575.0,2026-09-14T15:08:27
2026-08-06 17:00:00,era5,508.0,2026-09-14T14:28:17
2026-08-07 09:00:00,analysis,256.0,2026-09-14T15:08:27
2026-08-07 09:00:00,era5,151.0,2026-09-14T14:28:17
2026-08-07 10:00:00,analysis,447.0,2026-09-14T15:08:27
2026-08-07 10:00:00,era5,342.0,2026-09-14T14:28:17
2026-08-07 11:00:00,analysis,678.0,2026-09-14T15:08:27
2026-08-07 11:00:00,era5,483.0,2026-09-14T14:28:17
2026-08-07 12:00:00,analysis,839.0,2026-09-14T15:08:27
2026-08-07 12:00:00,era5,748.0,2026-09-14T14:28:17
2026-08-07 13:00:00,analysis,935.0,2026-09-14T15:08:27
2026-08-07 13:00:00,era5,868.0,2026-09-14T14:28:17
2026-08-07 14:00:00,analysis,950.0,2026-09-14T15:08:27
2026-08-07 14:00:00,era5,907.0,2026-09-14T14:28:17
2026-08-07 15:00:00,analysis,889.0,2026-09-14T15:08:27
2026-08-07 15:00:00,era5,842.0,2026-09-14T14:28:17
2026-08-07 16:00:00,analysis,737.0,2026-09-14T15:08:27
2026-08-07 16:00:00,era5,713.0,2026-09-14T14:28:17
2026-08-07 17:00:00,analysis,549.0,2026-09-14T15:08:27
2026-08-07 17:00:00,era5,529.0,2026-09-14T14:28:17
2026-08-08 09:00:00,analysis,193.0,2026-09-14T15:08:27
2026-08-08 09:00:00,era5,185.0,2026-09-14T14:28:17
2026-08-08 10:00:00,analysis,286.0,2026-09-14T15:08:27
2026-08-08 10:00:00,era5,400.0,2026-09-14T14:28:17
2026-08-08 11:00:00,analysis,374.0,2026-09-14T15:08:27
2026-08-08 11:00:00,era5,611.0,2026-09-14T14:28:17
2026-08-08 12:00:00,analysis,811.0,2026-09-14T15:08:27
