issue_time,valid_time,horizon_h,source,mode,median,lower,upper,actual,error,abs_error,in_interval
2026-08-06 14:00:00,2026-08-06 15:00:00,1,analysis,replay,779.71,730.57,811.58,866.0,-86.29,86.29,0
2026-08-06 14:00:00,2026-08-06 15:00:00,1,era5,replay,779.71,730.57,811.58,791.0,-11.29,11.29,1
2026-08-06 14:00:00,2026-08-06 16:00:00,2,analysis,replay,655.06,588.98,701.54,760.0,-104.94,104.94,0
2026-08-06 14:00:00,2026-08-06 16:00:00,2,era5,replay,655.06,588.98,701.54,653.0,2.06,2.06,1
2026-08-06 14:00:00,2026-08-06 17:00:00,3,analysis,replay,484.96,423.71,521.65,575.0,-90.04,90.04,0
2026-08-06 14:00:00,2026-08-06 17:00:00,3,era5,replay,484.96,423.71,521.65,508.0,-23.04,23.04,1
2026-08-07 08:00:00,2026-08-07 09:00:00,1,analysis,replay,199.41,121.13,231.76,256.0,-56.59,56.59,0
2026-08-07 08:00:00,2026-08-07 09:00:00,1,era5,replay,199.41,121.13,231.76,151.0,48.41,48.41,1
2026-08-07 08:00:00,2026-08-07 10:00:00,2,analysis,replay,399.64,261.06,455.09,447.0,-47.36,47.36,1
2026-08-07 08:00:00,2026-08-07 10:00:00,2,era5,replay,399.64,261.06,455.09,342.0,57.64,57.64,1
2026-08-07 08:00:00,2026-08-07 11:00:00,3,analysis,replay,573.15,383.27,640.33,678.0,-104.85,104.85,0
2026-08-07 08:00:00,2026-08-07 11:00:00,3,era5,replay,573.15,383.27,640.33,483.0,90.15,90.15,1
2026-08-07 09:00:00,2026-08-07 10:00:00,1,analysis,replay,327.6,256.96,398.5,447.0,-119.4,119.4,0
2026-08-07 09:00:00,2026-08-07 10:00:00,1,era5,replay,327.6,256.96,398.5,342.0,-14.4,14.4,1
2026-08-07 09:00:00,2026-08-07 11:00:00,2,analysis,replay,508.54,327.35,614.6,678.0,-169.46,169.46,0
2026-08-07 09:00:00,2026-08-07 11:00:00,2,era5,replay,508.54,327.35,614.6,483.0,25.54,25.54,1
2026-08-07 09:00:00,2026-08-07 12:00:00,3,analysis,replay,641.82,414.48,758.85,839.0,-197.18,197.18,0
2026-08-07 09:00:00,2026-08-07 12:00:00,3,era5,replay,641.82,414.48,758.85,748.0,-106.18,106.18,1
2026-08-07 10:00:00,2026-08-07 11:00:00,1,analysis,replay,551.77,455.63,612.74,678.0,-126.23,126.23,0
2026-08-07 10:00:00,2026-08-07 11:00:00,1,era5,replay,551.77,455.63,612.74,483.0,68.77,68.77,1
2026-08-07 10:00:00,2026-08-07 12:00:00,2,analysis,replay,662.05,465.19,757.74,839.0,-176.95,176.95,0
2026-08-07 10:00:00,2026-08-07 12:00:00,2,era5,replay,662.05,465.19,757.74,748.0,-85.95,85.95,1
2026-08-07 10:00:00,2026-08-07 13:00:00,3,analysis,replay,703.58,495.19,816.98,935.0,-231.42,231.42,0
2026-08-07 10:00:00,2026-08-07 13:00:00,3,era5,replay,703.58,495.19,816.98,868.0,-164.42,164.42,0
2026-08-07 11:00:00,2026-08-07 12:00:00,1,analysis,replay,663.27,545.8,730.73,839.0,-175.73,175.73,0
2026-08-07 11:00:00,2026-08-07 12:00:00,1,era5,replay,663.27,545.8,730.73,748.0,-84.73,84.73,0
2026-08-07 11:00:00,2026-08-07 13:00:00,2,analysis,replay,707.06,522.09,825.38,935.0,-227.94,227.94,0
2026-08-07 11:00:00,2026-08-07 13:00:00,2,era5,replay,707.06,522.09,825.38,868.0,-160.94,160.94,0
2026-08-07 11:00:00,2026-08-07 14:00:00,3,analysis,replay,705.86,518.23,841.9,950.0,-244.14,244.14,0
2026-08-07 11:00:00,2026-08-07 14:00:00,3,era5,replay,705.86,518.23,841.9,907.0,-201.14,201.14,0
2026-08-07 12:00:00,2026-08-07 13:00:00,1,analysis,replay,826.18,766.97,866.83,935.0,-108.82,108.82,0
2026-08-07 12:00:00,2026-08-07 13:00:00,1,era5,replay,826.18,766.97,866.83,868.0,-41.82,41.82,0
2026-08-07 12:00:00,2026-08-07 14:00:00,2,analysis,replay,831.52,739.97,889.25,950.0,-118.48,118.48,0
2026-08-07 12:00:00,2026-08-07 14:00:00,2,era5,replay,831.52,739.97,889.25,907.0,-75.48,75.48,0
2026-08-07 12:00:00,2026-08-07 15:00:00,3,analysis,replay,752.05,628.68,820.36,889.0,-136.95,136.95,0
2026-08-07 12:00:00,2026-08-07 15:00:00,3,era5,replay,752.05,628.68,820.36,842.0,-89.95,89.95,0
2026-08-07 13:00:00,2026-08-07 14:00:00,1,analysis,replay,861.77,828.03,894.09,950.0,-88.23,88.23,0
2026-08-07 13:00:00,2026-08-07 14:00:00,1,era5,replay,861.77,828.03,894.09,907.0,-45.23,45.23,0
2026-08-07 13:00:00,2026-08-07 15:00:00,2,analysis,replay,802.14,738.95,847.63,889.0,-86.86,86.86,0
2026-08-07 13:00:00,2026-08-07 15:00:00,2,era5,replay,802.14,738.95,847.63,842.0,-39.86,39.86,1
2026-08-07 13:00:00,2026-08-07 16:00:00,3,analysis,replay,681.27,601.22,723.21,737.0,-55.73,55.73,0
2026-08-07 13:00:00,2026-08-07 16:00:00,3,era5,replay,681.27,601.22,723.21,713.0,-31.73,31.73,1
2026-08-07 14:00:00,2026-08-07 15:00:00,1,analysis,replay,821.32,777.06,852.32,889.0,-67.68,67.68,0
2026-08-07 14:00:00,2026-08-07 15:00:00,1,era5,replay,821.32,777.06,852.32,842.0,-20.68,20.68,1
2026-08-07 14:00:00,2026-08-07 16:00:00,2,analysis,replay,691.27,630.85,724.76,737.0,-45.73,45.73,0
2026-08-07 14:00:00,2026-08-07 16:00:00,2,era5,replay,691.27,630.85,724.76,713.0,-21.73,21.73,1
2026-08-07 14:00:00,2026-08-07 17:00:00,3,analysis,replay,518.72,470.08,541.92,549.0,-30.28,30.28,0
